GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,TargetRef,10,14,0,0,4,6,3,4,3,4
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,Guardrail,3,21,0,0,1,9,1,6,1,6
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,WardenPolicySpec,7,45,0,0,3,19,2,13,2,13
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,WardenPolicy,3,0,0,0,1,0,1,0,1,0
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,WardenPolicyStatus,17,0,0,0,7,0,5,0,5,0
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,BlackoutWindow,0,17,0,0,0,7,0,5,0,5
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,ScheduleWindow,0,17,0,0,0,7,0,5,0,5
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,LeadTime,0,17,0,0,0,7,0,5,0,5
coverage/warden-crd-model,io.github.baokhang83.mnemo.warden.crd,ResourceProfile,0,17,0,0,0,7,0,5,0,5
coverage/warden-controller,io.github.baokhang83.mnemo.warden.controller.schedule,ResourceQuantity,21,68,4,4,4,22,4,2,0,2
coverage/warden-controller,io.github.baokhang83.mnemo.warden.controller.schedule,ScheduleEvaluator,12,230,14,38,5,44,14,18,0,6
coverage/warden-controller,io.github.baokhang83.mnemo.warden.controller.schedule,ScheduleEvaluator.NextTransition,0,9,0,0,0,1,0,1,0,1
coverage/warden-controller,io.github.baokhang83.mnemo.warden.controller.schedule,BlackoutEvaluator,0,37,0,8,0,9,0,5,0,1
coverage/warden-controller,io.github.baokhang83.mnemo.warden.controller.schedule,ShorthandDuration,20,31,5,2,5,6,5,2,0,2
coverage/warden-controller,io.github.baokhang83.mnemo.warden.controller.guardrail,PrecedenceEngine,0,18,0,8,0,7,0,5,0,1
